order           Size            NE              GradError       L2Error          hmin
1               359             1240            3.450296346     0.6343717863    0.7683380631    
2               2217            1240            1.032203882     0.111766787     0.7683380631    
1               2217            9920            1.756975882     0.1867996792    0.3841690315    
2               15393           9920            0.2870520559    0.01834211413   0.3841690315    
1               15393           79360           0.9123224018    0.04927305556   0.1920845158    
2               114305          79360           0.07519015942   0.002443502413  0.1920845158    
order           Size            NE              GradError       L2Error          hmin
1               359             1240            3.450296346     0.6343717863    0.7683380631    
2               2217            1240            1.032203882     0.111766787     0.7683380631    
3               6815            1240            0.3039095294    0.02221040351   0.7683380631    
4               14153           1240            0.07321444338   0.004271069932  0.7683380631    
5               24231           1240            0.02037864692   0.0008566798446 0.7683380631    
1               2217            9920            1.756975882     0.1867996792    0.3841690315    
2               15393           9920            0.2870520559    0.01834211413   0.3841690315    
3               49449           9920            0.04498939634   0.001870658673  0.3841690315    
4               104385          9920            0.006512323792  0.0001993134816 0.3841690315    
5               180201          9920            0.0009969500028 2.201234501e-05 0.3841690315    
1               15393           79360           0.9123224018    0.04927305556   0.1920845158    
2               114305          79360           0.07519015942   0.002443502413  0.1920845158    
3               376097          79360           0.00636789363   0.0001306548054 0.1920845158 
