order           Size            NE              GradError       L2Error          hmin
          1               189             328             0.658553643     0.03670179787   0.4147870047    
2               705             328             0.04786232318   0.002559016676  0.4147870047    
3               1221            328             0.004018134215  0.0001312030521 0.4147870047    
4               1737            328             0.0003117653292 7.322603927e-06 0.4147870047    
5               2253            328             2.318778254e-05 4.378887869e-07 0.4147870047    
1               705             1312            0.3685488073    0.00930004599   0.2073935023    
2               2721            1312            0.01215483116   0.0003238373208 0.2073935023    
3               4737            1312            0.0005339273355 8.443514666e-06 0.2073935023    
4               6753            1312            2.101587491e-05 2.37561148e-07  0.2073935023    
5               8769            1312            7.896038134e-07 7.300820692e-09 0.2073935023    
1               2721            5248            0.1876565314    0.002334558284  0.1036967512    
2               10689           5248            0.003051404444  4.062558686e-05 0.1036967512    
3               18657           5248            6.8869162e-05   5.332404682e-07 0.1036967512    
4               26625           5248            1.357246825e-06 7.485707109e-09 0.1036967512    
5               34593           5248            2.540133785e-08 1.966096144e-10 0.1036967512    
1               10689           20992           0.09376989044   0.0005843212023 0.05184837558   
2               42369           20992           0.0007647792316 5.08482124e-06  0.05184837558   
3               74049           20992           8.744552609e-06 3.345982083e-08 0.05184837558   
4               105729          20992           8.613609619e-08 2.510472552e-10 0.05184837558   
5               137409          20992           9.193159573e-10 1.484109114e-10 0.05184837558   
